"ID_STAZ";"DESC_STAZ";"ALTIT";"X_LON";"Y_LAT";"COMUNE_CODISTAT";"COMUNE_NOME";"PROVINCIA_IDPROVINCIAISTAT";"PROVINCIA_SIGLAPROVINCIA"
"754";"Polizzi Generosa";"650";"13.9961109";"37.8244438";"082058";"POLIZZI GENEROSA";"082";"PA"
"1382";"Prizzi";"1110";"13.4217000";"37.6883000";"082060";"PRIZZI";"082";"PA"
"756";"Ragusa";"703";"14.6769447";"36.9550018";"088009";"RAGUSA";"088";"RG"
"1404";"Ramacca Giumarra";"263";"14.6336000";"37.4811000";"087037";"RAMACCA";"087";"CT"
"715";"Randazzo";"680";"14.9797220";"37.8894463";"087038";"RANDAZZO";"087";"CT"
"693";"Ribera";"30";"13.2663889";"37.4386000";"084033";"RIBERA";"084";"AG"
"701";"Riesi";"300";"14.0891666";"37.2758331";"085015";"RIESI";"085";"CL"
"707";"Riposto";"50";"15.1983337";"37.6853000";"087039";"RIPOSTO";"087";"CT"
"778";"Salemi";"280";"12.7205553";"37.8188896";"081018";"SALEMI";"081";"TP"
"737";"San Fratello";"1040";"14.6238890";"37.9547234";"083078";"SAN FRATELLO";"083";"ME"
"738";"San Pier Niceto";"617";"15.3597221";"38.1236000";"083080";"SAN PIER NICETO";"083";"ME"
"760";"Santa Croce Camerina";"55";"14.5024996";"36.8358000";"088010";"SANTA CROCE CAMERINA";"088";"RG"
"694";"Sciacca";"90";"13.0397224";"37.5919000";"084041";"SCIACCA";"084";"AG"
"761";"Scicli";"30";"14.6767000";"36.7605553";"088011";"SCICLI";"088";"RG"
"703";"Sclafani Bagni";"500";"13.8500000";"37.7061000";"082069";"SCLAFANI BAGNI";"082";"PA"
"764";"Siracusa";"90";"15.1591663";"37.0613899";"089017";"SIRACUSA";"089";"SR"
"755";"Termini Imerese";"350";"13.6127777";"37.9719000";"082070";"TERMINI IMERESE";"082";"PA"
"739";"Torregrotta";"26";"15.3575001";"38.1914000";"083098";"TORREGROTTA";"083";"ME"
"779";"Trapani Fontanasalsa";"50";"12.5527782";"37.9419441";"081021";"TRAPANI";"081";"TP"
"780";"Trapani Fulgatore";"180";"12.6614000";"37.9475000";"081021";"TRAPANI";"081";"TP"
