ID_STAZ;Year;Month;VALORE
683;2020;5;4.4
684;2020;5;8.4
685;2020;5;6.4
686;2020;5;4.4
687;2020;5;2.2
689;2020;5;17.200000000000003
690;2020;5;5.0
693;2020;5;1.0
694;2020;5;7.4
695;2020;5;5.0
696;2020;5;8.0
697;2020;5;5.0
698;2020;5;3.1999999999999997
699;2020;5;4.6
700;2020;5;12.600000000000001
701;2020;5;2.2
703;2020;5;2.4000000000000004
705;2020;5;3.8
706;2020;5;0.6
707;2020;5;17.4
708;2020;5;13.8
709;2020;5;25.4
710;2020;5;10.4
711;2020;5;4.2
712;2020;5;2.0
713;2020;5;6.6
715;2020;5;8.0
716;2020;5;16.0
717;2020;5;2.8
718;2020;5;2.0
721;2020;5;12.200000000000001
722;2020;5;15.6
723;2020;5;5.4
724;2020;5;31.8
725;2020;5;14.2
726;2020;5;63.0
727;2020;5;20.2
728;2020;5;8.8
729;2020;5;28.8
730;2020;5;24.6
731;2020;5;13.0
733;2020;5;16.8
734;2020;5;18.8
735;2020;5;13.2
736;2020;5;1.6
737;2020;5;51.6
738;2020;5;55.6
739;2020;5;29.4
740;2020;5;1.4000000000000001
742;2020;5;6.8
743;2020;5;2.0
744;2020;5;4.4
745;2020;5;13.0
746;2020;5;3.5999999999999996
747;2020;5;7.2
748;2020;5;1.0
749;2020;5;7.6000000000000005
750;2020;5;3.5999999999999996
751;2020;5;3.2
752;2020;5;7.8
753;2020;5;7.799999999999999
754;2020;5;3.4000000000000004
755;2020;5;1.2000000000000002
756;2020;5;9.4
757;2020;5;17.2
758;2020;5;31.2
759;2020;5;6.6000000000000005
760;2020;5;7.4
761;2020;5;24.4
762;2020;5;1.4
763;2020;5;4.2
764;2020;5;2.4
765;2020;5;1.2000000000000002
766;2020;5;0.8
767;2020;5;38.0
769;2020;5;18.599999999999998
770;2020;5;18.6
772;2020;5;5.6
773;2020;5;20.8
774;2020;5;17.8
775;2020;5;11.0
776;2020;5;5.2
777;2020;5;11.0
778;2020;5;13.0
779;2020;5;3.0
780;2020;5;6.0
1380;2020;5;26.0
1381;2020;5;11.6
1382;2020;5;10.2
1383;2020;5;9.399999999999999
1384;2020;5;13.600000000000001
1385;2020;5;3.6
1386;2020;5;16.0
1404;2020;5;1.2000000000000002
1424;2020;5;0.0
1444;2020;5;11.200000000000001
