ID_STAZ;Year;Month;VALORE
683;2020;12;5.0
684;2020;12;2.2
685;2020;12;10.0
686;2020;12;9.799999999999999
687;2020;12;2.4
689;2020;12;6.0
690;2020;12;2.2
693;2020;12;6.0
694;2020;12;6.0
695;2020;12;5.2
696;2020;12;7.800000000000001
697;2020;12;2.0
698;2020;12;3.6
699;2020;12;3.0
700;2020;12;6.2
701;2020;12;5.6
703;2020;12;3.4
705;2020;12;5.2
706;2020;12;18.0
707;2020;12;1.4
708;2020;12;7.4
709;2020;12;2.0
710;2020;12;8.0
711;2020;12;2.2
712;2020;12;1.4
713;2020;12;2.8000000000000003
715;2020;12;1.6
716;2020;12;4.4
717;2020;12;3.2
718;2020;12;4.4
721;2020;12;2.4
722;2020;12;2.2
723;2020;12;1.6
724;2020;12;11.4
725;2020;12;4.6
726;2020;12;22.0
727;2020;12;8.2
728;2020;12;7.6000000000000005
729;2020;12;4.6
730;2020;12;1.8
731;2020;12;1.2000000000000002
733;2020;12;3.8000000000000003
734;2020;12;1.4000000000000001
735;2020;12;2.8
736;2020;12;0.4
737;2020;12;0.8
738;2020;12;0.8
739;2020;12;5.0
740;2020;12;1.8
742;2020;12;43.6
743;2020;12;1.4000000000000001
744;2020;12;30.4
745;2020;12;43.4
746;2020;12;0.6000000000000001
747;2020;12;0.8
748;2020;12;18.0
749;2020;12;50.4
750;2020;12;20.8
751;2020;12;54.8
752;2020;12;5.8
753;2020;12;10.8
754;2020;12;5.4
755;2020;12;11.0
756;2020;12;10.4
757;2020;12;14.4
758;2020;12;7.199999999999999
759;2020;12;1.7999999999999998
760;2020;12;11.8
761;2020;12;5.4
762;2020;12;14.0
763;2020;12;3.0
764;2020;12;1.6
765;2020;12;3.0
766;2020;12;2.0
767;2020;12;2.8
769;2020;12;4.8
770;2020;12;5.8
772;2020;12;67.0
773;2020;12;74.8
774;2020;12;49.4
775;2020;12;51.6
776;2020;12;80.2
777;2020;12;36.2
778;2020;12;73.4
779;2020;12;45.4
780;2020;12;52.4
1380;2020;12;6.0
1381;2020;12;33.2
1382;2020;12;35.4
1383;2020;12;10.4
1384;2020;12;9.4
1385;2020;12;1.5999999999999999
1386;2020;12;0.0
1404;2020;12;2.2
1424;2020;12;9.4
1444;2020;12;40.8
