ID_STAZ;Year;Month;VALORE
683;2021;10;6.0
683;2021;11;5.2
684;2021;10;5.0
684;2021;11;3.2
685;2021;11;1.5999999999999999
686;2021;10;0.8
686;2021;11;3.4
687;2021;10;1.4
687;2021;11;21.799999999999997
689;2021;10;1.2
689;2021;11;3.6
690;2021;10;2.0
690;2021;11;2.2
693;2021;10;6.2
693;2021;11;16.2
694;2021;10;2.6
694;2021;11;32.2
695;2021;10;3.6
695;2021;11;8.6
696;2021;10;1.6
696;2021;11;7.2
697;2021;10;0.8
697;2021;11;1.6
698;2021;10;1.6
698;2021;11;7.2
699;2021;10;2.0
699;2021;11;8.0
700;2021;11;2.8000000000000003
701;2021;10;1.0
701;2021;11;10.6
703;2021;10;7.2
703;2021;11;19.6
705;2021;10;1.0
705;2021;11;11.0
706;2021;10;0.6
706;2021;11;9.8
707;2021;10;0.0
707;2021;11;4.8
708;2021;10;0.0
708;2021;11;30.599999999999998
709;2021;11;6.0
710;2021;10;0.4
710;2021;11;1.6
711;2021;10;0.0
711;2021;11;1.2000000000000002
712;2021;10;0.8
712;2021;11;8.0
713;2021;10;0.6
713;2021;11;10.4
715;2021;10;0.4
715;2021;11;20.2
716;2021;10;0.2
716;2021;11;5.0
717;2021;10;0.6
717;2021;11;15.0
718;2021;10;3.0
718;2021;11;59.4
721;2021;10;2.2
721;2021;11;10.2
722;2021;10;0.6
722;2021;11;5.2
723;2021;11;6.3999999999999995
724;2021;10;1.4
724;2021;11;16.4
725;2021;10;1.0
725;2021;11;19.4
727;2021;10;0.4
727;2021;11;36.199999999999996
728;2021;10;2.2
728;2021;11;2.2
729;2021;10;0.8
729;2021;11;14.6
730;2021;10;0.6
730;2021;11;2.2
731;2021;10;0.4
731;2021;11;8.0
733;2021;10;0.8
733;2021;11;8.4
734;2021;10;0.4
734;2021;11;6.8
735;2021;10;1.4
735;2021;11;5.4
736;2021;10;0.2
736;2021;11;25.2
737;2021;10;0.2
737;2021;11;3.6
738;2021;10;0.0
738;2021;11;29.799999999999997
739;2021;10;0.6
739;2021;11;27.8
740;2021;11;1.2000000000000002
742;2021;11;14.2
743;2021;10;0.2
743;2021;11;31.2
744;2021;10;0.4
744;2021;11;70.0
745;2021;10;1.6
745;2021;11;40.0
746;2021;10;0.2
746;2021;11;42.2
747;2021;10;0.0
747;2021;11;0.0
748;2021;10;0.4
748;2021;11;32.8
749;2021;10;1.0
749;2021;11;61.4
750;2021;10;0.0
750;2021;11;41.6
751;2021;10;0.0
751;2021;11;51.2
752;2021;10;1.6
752;2021;11;28.6
753;2021;10;4.4
753;2021;11;45.4
754;2021;10;5.0
754;2021;11;26.6
755;2021;10;1.0
755;2021;11;30.4
756;2021;10;0.0
756;2021;11;12.6
757;2021;10;0.2
757;2021;11;5.0
758;2021;10;0.0
758;2021;11;8.4
759;2021;10;0.2
759;2021;11;5.8
760;2021;10;0.2
760;2021;11;11.4
761;2021;10;0.0
761;2021;11;7.8
762;2021;11;0.0
763;2021;10;0.2
763;2021;11;29.6
764;2021;10;0.0
764;2021;11;3.4000000000000004
765;2021;10;0.2
765;2021;11;2.4000000000000004
766;2021;10;0.8
766;2021;11;3.6
767;2021;10;0.4
767;2021;11;3.8
769;2021;10;0.0
769;2021;11;7.0
770;2021;10;0.2
770;2021;11;9.6
772;2021;10;1.2
772;2021;11;82.0
773;2021;10;1.0
773;2021;11;68.2
774;2021;10;3.2
774;2021;11;160.79999999999998
775;2021;10;0.6
775;2021;11;65.0
776;2021;10;3.4
776;2021;11;83.2
777;2021;10;4.6
777;2021;11;79.8
778;2021;10;2.4
778;2021;11;81.6
779;2021;10;0.4
779;2021;11;69.0
780;2021;10;0.6
780;2021;11;65.4
1380;2021;10;0.8
1380;2021;11;7.3999999999999995
1381;2021;10;1.2
1381;2021;11;82.0
1382;2021;10;0.2
1382;2021;11;77.6
1383;2021;10;0.6
1383;2021;11;31.0
1384;2021;10;0.6
1384;2021;11;56.4
1385;2021;10;3.0
1385;2021;11;10.6
1386;2021;10;1.2
1386;2021;11;1.9999999999999998
1404;2021;10;0.0
1404;2021;11;11.8
1424;2021;10;0.2
1424;2021;11;3.2
1444;2021;10;0.0
1444;2021;11;15.6
