ID_STAZ;Year;Month;VALORE
683;2021;12;0.0
683;2022;1;0.6
684;2021;12;0.0
684;2022;1;0.8
685;2021;12;0.0
685;2022;1;0.8
686;2021;12;0.0
686;2022;1;0.2
687;2021;12;0.0
687;2022;1;2.8
689;2021;12;0.0
689;2022;1;2.6
690;2021;12;0.0
690;2022;1;0.6000000000000001
693;2021;12;0.0
693;2022;1;0.0
694;2021;12;0.0
694;2022;1;3.4
695;2021;12;0.0
695;2022;1;1.0
696;2021;12;0.0
696;2022;1;0.4
697;2021;12;0.0
697;2022;1;2.2
698;2021;12;0.0
698;2022;1;0.8
699;2021;12;0.0
699;2022;1;1.4
700;2021;12;0.0
700;2022;1;3.4
701;2021;12;0.0
701;2022;1;0.2
703;2021;12;0.0
703;2022;1;17.4
705;2021;12;0.0
705;2022;1;2.0
706;2021;12;0.0
706;2022;1;0.8
707;2021;12;0.0
707;2022;1;0.6000000000000001
708;2021;12;0.0
708;2022;1;4.6
709;2021;12;0.0
709;2022;1;0.0
710;2021;12;0.0
710;2022;1;2.8000000000000003
711;2022;1;0.0
712;2021;12;0.0
712;2022;1;1.2
713;2021;12;0.0
713;2022;1;4.4
715;2021;12;0.0
715;2022;1;9.8
716;2021;12;0.0
716;2022;1;1.7999999999999998
717;2021;12;0.0
717;2022;1;4.4
718;2021;12;0.0
718;2022;1;4.2
721;2021;12;0.0
721;2022;1;13.0
722;2021;12;0.0
722;2022;1;3.8000000000000003
724;2021;12;0.0
724;2022;1;2.0
725;2021;12;0.0
725;2022;1;17.8
727;2021;12;0.0
727;2022;1;5.2
728;2021;12;0.0
728;2022;1;7.0
729;2021;12;0.0
729;2022;1;23.6
730;2021;12;0.0
730;2022;1;10.2
731;2021;12;0.0
731;2022;1;8.6
733;2021;12;0.0
733;2022;1;0.4
734;2021;12;0.0
734;2022;1;11.0
735;2021;12;0.0
735;2022;1;7.4
736;2021;12;0.0
736;2022;1;21.6
737;2021;12;0.0
737;2022;1;0.0
738;2021;12;0.0
738;2022;1;6.6
739;2021;12;0.0
739;2022;1;9.2
740;2022;1;0.0
742;2022;1;6.2
743;2021;12;0.0
743;2022;1;31.8
744;2021;12;0.0
744;2022;1;1.6
745;2021;12;0.0
745;2022;1;7.0
746;2021;12;0.0
746;2022;1;7.6
747;2021;12;0.0
747;2022;1;0.0
748;2021;12;0.0
748;2022;1;26.0
749;2021;12;0.0
749;2022;1;12.2
750;2021;12;0.0
750;2022;1;21.0
751;2021;12;0.0
751;2022;1;3.8
752;2021;12;0.0
752;2022;1;23.0
753;2021;12;0.0
753;2022;1;4.2
754;2021;12;0.0
754;2022;1;19.0
755;2021;12;0.0
755;2022;1;13.8
756;2021;12;0.0
756;2022;1;0.4
757;2021;12;0.0
757;2022;1;0.4
758;2021;12;0.0
758;2022;1;7.800000000000001
759;2021;12;0.0
759;2022;1;3.4
760;2021;12;0.0
760;2022;1;0.2
761;2021;12;0.0
761;2022;1;3.2
762;2021;12;0.0
762;2022;1;0.0
763;2021;12;0.0
763;2022;1;0.2
764;2021;12;0.0
764;2022;1;0.6000000000000001
765;2021;12;0.0
765;2022;1;0.0
766;2021;12;0.0
766;2022;1;0.4
767;2021;12;0.0
767;2022;1;5.800000000000001
769;2021;12;0.0
769;2022;1;4.0
770;2021;12;0.0
770;2022;1;2.2
772;2021;12;0.0
772;2022;1;4.0
773;2021;12;0.0
773;2022;1;1.8
774;2021;12;0.0
774;2022;1;6.6
775;2021;12;0.0
775;2022;1;5.8
776;2021;12;0.0
776;2022;1;5.4
777;2021;12;0.0
777;2022;1;4.2
778;2021;12;0.0
778;2022;1;6.2
779;2021;12;0.0
779;2022;1;8.0
780;2021;12;0.0
780;2022;1;3.6
1380;2021;12;0.0
1380;2022;1;15.0
1381;2021;12;0.0
1381;2022;1;4.6
1382;2021;12;0.0
1382;2022;1;2.8000000000000003
1383;2021;12;0.0
1383;2022;1;3.8000000000000003
1384;2021;12;0.0
1384;2022;1;23.8
1385;2021;12;0.0
1385;2022;1;1.2
1386;2021;12;0.0
1386;2022;1;0.6
1404;2021;12;0.0
1404;2022;1;0.4
1424;2021;12;0.0
1424;2022;1;8.600000000000001
1444;2021;12;0.0
1444;2022;1;0.0
