ID_STAZ;Year;Month;VALORE
683;2021;2;16.6
684;2021;2;18.4
685;2021;2;0.0
686;2021;2;16.0
687;2021;2;12.0
689;2021;2;12.6
690;2021;2;23.0
693;2021;2;11.0
694;2021;2;5.8
695;2021;2;10.8
696;2021;2;7.8
697;2021;2;10.6
698;2021;2;14.4
699;2021;2;8.8
700;2021;2;2.0
701;2021;2;9.4
703;2021;2;12.4
705;2021;2;12.6
706;2021;2;4.8
707;2021;2;6.6000000000000005
708;2021;2;5.4
709;2021;2;11.6
710;2021;2;18.8
711;2021;2;2.4
712;2021;2;2.4
713;2021;2;15.4
715;2021;2;18.8
716;2021;2;9.0
717;2021;2;10.6
718;2021;2;7.2
721;2021;2;10.200000000000001
722;2021;2;9.0
723;2021;2;15.2
724;2021;2;17.8
725;2021;2;17.4
726;2021;2;0.4
727;2021;2;17.2
728;2021;2;17.6
729;2021;2;45.8
730;2021;2;21.8
731;2021;2;6.6000000000000005
733;2021;2;54.800000000000004
734;2021;2;4.4
735;2021;2;34.2
736;2021;2;12.8
737;2021;2;11.4
738;2021;2;27.6
739;2021;2;46.4
740;2021;2;1.0
742;2021;2;18.2
743;2021;2;16.6
744;2021;2;11.0
745;2021;2;18.4
746;2021;2;9.8
747;2021;2;0.8
748;2021;2;20.2
749;2021;2;44.4
750;2021;2;14.4
751;2021;2;10.4
752;2021;2;25.0
753;2021;2;11.6
754;2021;2;20.8
755;2021;2;22.8
756;2021;2;30.2
757;2021;2;25.8
758;2021;2;5.8
759;2021;2;10.0
760;2021;2;10.8
761;2021;2;5.6000000000000005
762;2021;2;22.4
763;2021;2;8.0
764;2021;2;5.6
765;2021;2;7.2
766;2021;2;6.8
767;2021;2;3.4
769;2021;2;6.0
770;2021;2;24.2
772;2021;2;14.8
773;2021;2;10.8
774;2021;2;7.6
775;2021;2;6.2
776;2021;2;4.4
777;2021;2;5.8
778;2021;2;5.6
779;2021;2;7.4
780;2021;2;6.2
1380;2021;2;37.8
1381;2021;2;22.6
1382;2021;2;19.6
1383;2021;2;10.4
1384;2021;2;35.4
1385;2021;2;2.4000000000000004
1386;2021;2;1.4
1404;2021;2;6.6
1424;2021;2;2.8
1444;2021;2;3.4
