"ID_STAZ";"ID_PAR";"DATARIL";"VALORE"
"1380";"65";"2020-09-01 00:00:00.0";"0.60"
"1380";"65";"2020-09-01 01:00:00.0";"0.00"
"1380";"65";"2020-09-01 02:00:00.0";"0.40"
"1380";"65";"2020-09-01 03:00:00.0";"0.40"
"1380";"65";"2020-09-01 04:00:00.0";"0.40"
"750";"65";"2020-09-01 00:00:00.0";"0.00"
"750";"65";"2020-09-01 01:00:00.0";"0.00"
"750";"65";"2020-09-01 02:00:00.0";"0.00"
"750";"65";"2020-09-01 03:00:00.0";"0.00"
"727";"65";"2020-09-01 00:00:00.0";"0.00"
"727";"65";"2020-09-01 01:00:00.0";"0.00"
"727";"65";"2020-09-01 02:00:00.0";"0.00"
"698";"65";"2020-09-01 00:00:00.0";"0.00"
"698";"65";"2020-09-01 01:00:00.0";"0.00"
"717";"65";"2020-09-01 00:00:00.0";"0.00"
"717";"65";"2020-09-01 01:00:00.0";"0.00"
"748";"65";"2020-09-01 00:00:00.0";"0.00"
"748";"65";"2020-09-01 01:00:00.0";"0.00"
"748";"65";"2020-09-01 02:00:00.0";"0.00"
"1444";"65";"2020-09-01 00:00:00.0";"0.00"
"1444";"65";"2020-09-01 01:00:00.0";"0.00"
"1444";"65";"2020-09-01 02:00:00.0";"0.00"
"1444";"65";"2020-09-01 03:00:00.0";"0.00"
"1444";"65";"2020-09-01 04:00:00.0";"0.00"
"733";"65";"2020-09-01 00:00:00.0";"0.60"
"733";"65";"2020-09-01 01:00:00.0";"3.80"
"733";"65";"2020-09-01 02:00:00.0";"0.60"
"715";"65";"2020-09-01 00:00:00.0";"0.00"
"715";"65";"2020-09-01 01:00:00.0";"0.00"
"700";"65";"2020-09-01 00:00:00.0";"0.00"
"700";"65";"2020-09-01 01:00:00.0";"0.00"
"762";"65";"2020-09-01 00:00:00.0";"0.00"
"762";"65";"2020-09-01 01:00:00.0";"0.00"
"762";"65";"2020-09-01 02:00:00.0";"0.00"
"762";"65";"2020-09-01 03:00:00.0";"0.00"
"773";"65";"2020-09-01 00:00:00.0";"0.00"
"773";"65";"2020-09-01 01:00:00.0";"0.00"
"773";"65";"2020-09-01 02:00:00.0";"0.00"
"773";"65";"2020-09-01 03:00:00.0";"0.00"
"773";"65";"2020-09-01 04:00:00.0";"0.00"
"757";"65";"2020-09-01 00:00:00.0";"0.00"
"757";"65";"2020-09-01 01:00:00.0";"0.00"
"757";"65";"2020-09-01 02:00:00.0";"0.00"
"757";"65";"2020-09-01 03:00:00.0";"0.00"
"780";"65";"2020-09-01 00:00:00.0";"0.00"
"780";"65";"2020-09-01 01:00:00.0";"0.00"
"780";"65";"2020-09-01 02:00:00.0";"0.00"
"780";"65";"2020-09-01 03:00:00.0";"0.00"
"780";"65";"2020-09-01 04:00:00.0";"0.00"
