"ID_STAZ";"ID_PAR";"DATARIL";"VALORE"
"1380";"65";"2022-04-01 00:00:00.0";"0.00"
"1380";"65";"2022-04-01 01:00:00.0";"0.00"
"1380";"65";"2022-04-01 02:00:00.0";"0.00"
"1380";"65";"2022-04-01 03:00:00.0";"0.00"
"1380";"65";"2022-04-01 04:00:00.0";"0.00"
"710";"65";"2022-04-01 00:00:00.0";"0.00"
"710";"65";"2022-04-01 01:00:00.0";"0.00"
"696";"65";"2022-04-01 00:00:00.0";"0.00"
"696";"65";"2022-04-01 01:00:00.0";"0.00"
"738";"65";"2022-04-01 00:00:00.0";"0.00"
"738";"65";"2022-04-01 01:00:00.0";"0.00"
"738";"65";"2022-04-01 02:00:00.0";"0.00"
"753";"65";"2022-04-01 00:00:00.0";"0.00"
"753";"65";"2022-04-01 01:00:00.0";"0.00"
"753";"65";"2022-04-01 02:00:00.0";"0.00"
"753";"65";"2022-04-01 03:00:00.0";"0.00"
"751";"65";"2022-04-01 00:00:00.0";"0.00"
"751";"65";"2022-04-01 01:00:00.0";"0.80"
"751";"65";"2022-04-01 02:00:00.0";"0.00"
"751";"65";"2022-04-01 03:00:00.0";"0.00"
"1444";"65";"2022-04-01 00:00:00.0";"0.00"
"1444";"65";"2022-04-01 01:00:00.0";"0.00"
"1444";"65";"2022-04-01 02:00:00.0";"0.00"
"1444";"65";"2022-04-01 03:00:00.0";"0.00"
"1444";"65";"2022-04-01 04:00:00.0";"0.00"
"1444";"65";"2022-04-01 05:00:00.0";"0.00"
"713";"65";"2022-04-01 00:00:00.0";"0.00"
"713";"65";"2022-04-01 01:00:00.0";"0.00"
"752";"65";"2022-04-01 00:00:00.0";"0.00"
"752";"65";"2022-04-01 01:00:00.0";"0.00"
"752";"65";"2022-04-01 02:00:00.0";"0.00"
"752";"65";"2022-04-01 03:00:00.0";"0.00"
"1385";"65";"2022-04-01 00:00:00.0";"0.00"
"775";"65";"2022-04-01 00:00:00.0";"0.40"
