"ID_STAZ";"ID_PAR";"DATARIL";"VALORE"
"683";"65";"2021-04-02 00:00:00.0";"0.00"
"736";"65";"2021-04-02 00:00:00.0";"0.00"
"736";"65";"2021-04-02 01:00:00.0";"0.00"
"736";"65";"2021-04-02 02:00:00.0";"0.00"
"736";"65";"2021-04-02 03:00:00.0";"0.00"
"1444";"65";"2021-04-02 00:00:00.0";"0.00"
"1444";"65";"2021-04-02 01:00:00.0";"0.00"
"1444";"65";"2021-04-02 02:00:00.0";"0.00"
"1444";"65";"2021-04-02 03:00:00.0";"0.00"
"1444";"65";"2021-04-02 04:00:00.0";"0.00"
"1444";"65";"2021-04-02 05:00:00.0";"0.00"
"730";"65";"2021-04-02 00:00:00.0";"0.00"
"690";"65";"2021-04-02 00:00:00.0";"0.00"
"690";"65";"2021-04-02 01:00:00.0";"0.00"
"696";"65";"2021-04-02 00:00:00.0";"0.00"
"696";"65";"2021-04-02 01:00:00.0";"0.00"
"705";"65";"2021-04-02 00:00:00.0";"0.00"
"705";"65";"2021-04-02 01:00:00.0";"0.00"
"733";"65";"2021-04-02 00:00:00.0";"0.00"
"733";"65";"2021-04-02 01:00:00.0";"0.00"
"733";"65";"2021-04-02 02:00:00.0";"0.00"
"755";"65";"2021-04-02 00:00:00.0";"0.00"
"755";"65";"2021-04-02 01:00:00.0";"0.00"
"755";"65";"2021-04-02 02:00:00.0";"0.00"
"755";"65";"2021-04-02 03:00:00.0";"0.00"
"716";"65";"2021-04-02 00:00:00.0";"0.00"
"716";"65";"2021-04-02 01:00:00.0";"0.00"
"716";"65";"2021-04-02 02:00:00.0";"0.00"
"1386";"65";"2021-04-02 00:00:00.0";"0.00"
"754";"65";"2021-04-02 00:00:00.0";"0.00"
"754";"65";"2021-04-02 01:00:00.0";"0.00"
"754";"65";"2021-04-02 02:00:00.0";"0.00"
"754";"65";"2021-04-02 03:00:00.0";"0.00"
"738";"65";"2021-04-02 00:00:00.0";"0.00"
"738";"65";"2021-04-02 01:00:00.0";"0.00"
"738";"65";"2021-04-02 02:00:00.0";"0.00"
"698";"65";"2021-04-02 00:00:00.0";"0.00"
"698";"65";"2021-04-02 01:00:00.0";"0.00"
"710";"65";"2021-04-02 00:00:00.0";"0.00"
"710";"65";"2021-04-02 01:00:00.0";"0.00"
"710";"65";"2021-04-02 02:00:00.0";"0.00"
"742";"65";"2021-04-02 00:00:00.0";"0.00"
"742";"65";"2021-04-02 01:00:00.0";"0.00"
"742";"65";"2021-04-02 02:00:00.0";"0.00"
"742";"65";"2021-04-02 03:00:00.0";"0.00"
"759";"65";"2021-04-02 00:00:00.0";"0.00"
"759";"65";"2021-04-02 01:00:00.0";"0.00"
"759";"65";"2021-04-02 02:00:00.0";"0.00"
"759";"65";"2021-04-02 03:00:00.0";"0.00"
"774";"65";"2021-04-02 00:00:00.0";"0.00"
"774";"65";"2021-04-02 01:00:00.0";"0.00"
"774";"65";"2021-04-02 02:00:00.0";"0.00"
"774";"65";"2021-04-02 03:00:00.0";"0.00"
"774";"65";"2021-04-02 04:00:00.0";"0.00"
"740";"65";"2021-04-02 00:00:00.0";"0.00"
"686";"65";"2021-04-02 00:00:00.0";"0.00"
"686";"65";"2021-04-02 01:00:00.0";"0.00"
"687";"65";"2021-04-02 00:00:00.0";"0.00"
"746";"65";"2021-04-02 00:00:00.0";"0.00"
"746";"65";"2021-04-02 01:00:00.0";"0.00"
"746";"65";"2021-04-02 02:00:00.0";"0.00"
"746";"65";"2021-04-02 03:00:00.0";"0.00"
"751";"65";"2021-04-02 00:00:00.0";"0.00"
"751";"65";"2021-04-02 01:00:00.0";"0.00"
"751";"65";"2021-04-02 02:00:00.0";"0.00"
"751";"65";"2021-04-02 03:00:00.0";"0.00"
"748";"65";"2021-04-02 00:00:00.0";"0.00"
"748";"65";"2021-04-02 01:00:00.0";"0.00"
"748";"65";"2021-04-02 02:00:00.0";"0.00"
"748";"65";"2021-04-02 03:00:00.0";"0.00"
"707";"65";"2021-04-02 00:00:00.0";"0.00"
"707";"65";"2021-04-02 01:00:00.0";"0.00"
"724";"65";"2021-04-02 00:00:00.0";"0.00"
"724";"65";"2021-04-02 01:00:00.0";"0.00"
"724";"65";"2021-04-02 02:00:00.0";"0.00"
"760";"65";"2021-04-02 00:00:00.0";"0.00"
"760";"65";"2021-04-02 01:00:00.0";"0.00"
"760";"65";"2021-04-02 02:00:00.0";"0.00"
"760";"65";"2021-04-02 03:00:00.0";"0.00"
"693";"65";"2021-04-02 00:00:00.0";"0.00"
"693";"65";"2021-04-02 01:00:00.0";"0.00"
"727";"65";"2021-04-02 00:00:00.0";"0.00"
"727";"65";"2021-04-02 01:00:00.0";"0.00"
"727";"65";"2021-04-02 02:00:00.0";"0.00"
"715";"65";"2021-04-02 00:00:00.0";"0.00"
"715";"65";"2021-04-02 01:00:00.0";"0.00"
"715";"65";"2021-04-02 02:00:00.0";"0.00"
"735";"65";"2021-04-02 00:00:00.0";"0.00"
"735";"65";"2021-04-02 01:00:00.0";"0.00"
"735";"65";"2021-04-02 02:00:00.0";"0.00"
"735";"65";"2021-04-02 03:00:00.0";"0.00"
"763";"65";"2021-04-02 00:00:00.0";"0.00"
"763";"65";"2021-04-02 01:00:00.0";"0.00"
"763";"65";"2021-04-02 02:00:00.0";"0.00"
"763";"65";"2021-04-02 03:00:00.0";"0.00"
"763";"65";"2021-04-02 04:00:00.0";"0.00"
"709";"65";"2021-04-02 00:00:00.0";"0.00"
"726";"65";"2021-04-02 00:00:00.0";"0.00"
"726";"65";"2021-04-02 01:00:00.0";"0.00"
"726";"65";"2021-04-02 02:00:00.0";"0.00"
"737";"65";"2021-04-02 00:00:00.0";"0.00"
"739";"65";"2021-04-02 00:00:00.0";"0.00"
"739";"65";"2021-04-02 01:00:00.0";"0.00"
"739";"65";"2021-04-02 02:00:00.0";"0.00"
"744";"65";"2021-04-02 00:00:00.0";"0.00"
"744";"65";"2021-04-02 01:00:00.0";"0.00"
"744";"65";"2021-04-02 02:00:00.0";"0.00"
"744";"65";"2021-04-02 03:00:00.0";"0.00"
"757";"65";"2021-04-02 00:00:00.0";"0.00"
"757";"65";"2021-04-02 01:00:00.0";"0.00"
"757";"65";"2021-04-02 02:00:00.0";"0.00"
"757";"65";"2021-04-02 03:00:00.0";"0.00"
"776";"65";"2021-04-02 00:00:00.0";"0.00"
"776";"65";"2021-04-02 01:00:00.0";"0.00"
"776";"65";"2021-04-02 02:00:00.0";"0.00"
"776";"65";"2021-04-02 03:00:00.0";"0.00"
"1383";"65";"2021-04-02 00:00:00.0";"0.00"
"1383";"65";"2021-04-02 01:00:00.0";"0.00"
"1383";"65";"2021-04-02 02:00:00.0";"0.00"
"1383";"65";"2021-04-02 03:00:00.0";"0.00"
"1383";"65";"2021-04-02 04:00:00.0";"0.00"
"1383";"65";"2021-04-02 05:00:00.0";"0.00"
"1384";"65";"2021-04-02 00:00:00.0";"0.00"
"1384";"65";"2021-04-02 01:00:00.0";"0.00"
"1384";"65";"2021-04-02 02:00:00.0";"0.00"
"1384";"65";"2021-04-02 03:00:00.0";"0.00"
