"ID_STAZ";"ID_PAR";"DATARIL";"VALORE"
"774";"65";"2022-02-28 23:00:00.0";"0.00"
"774";"65";"2022-03-01 00:00:00.0";"0.00"
"774";"65";"2022-03-01 01:00:00.0";"0.00"
"774";"65";"2022-03-01 02:00:00.0";"0.00"
"774";"65";"2022-03-01 03:00:00.0";"0.00"
"733";"65";"2022-02-28 23:00:00.0";"0.00"
"733";"65";"2022-03-01 00:00:00.0";"0.00"
"733";"65";"2022-03-01 01:00:00.0";"0.00"
"755";"65";"2022-02-28 23:00:00.0";"0.00"
"755";"65";"2022-03-01 00:00:00.0";"0.00"
"755";"65";"2022-03-01 01:00:00.0";"0.00"
"755";"65";"2022-03-01 02:00:00.0";"0.00"
"711";"65";"2022-02-28 23:00:00.0";"0.80"
"711";"65";"2022-03-01 00:00:00.0";"0.20"
"759";"65";"2022-02-28 23:00:00.0";"0.00"
"759";"65";"2022-03-01 00:00:00.0";"0.20"
"759";"65";"2022-03-01 01:00:00.0";"0.20"
"759";"65";"2022-03-01 02:00:00.0";"0.20"
"739";"65";"2022-02-28 23:00:00.0";"0.00"
"739";"65";"2022-03-01 00:00:00.0";"0.00"
"734";"65";"2022-02-28 23:00:00.0";"0.00"
"734";"65";"2022-03-01 00:00:00.0";"0.00"
"734";"65";"2022-03-01 01:00:00.0";"0.00"
"749";"65";"2022-02-28 23:00:00.0";"0.00"
"749";"65";"2022-03-01 00:00:00.0";"0.00"
"749";"65";"2022-03-01 01:00:00.0";"0.00"
"749";"65";"2022-03-01 02:00:00.0";"0.00"
"689";"65";"2022-02-28 23:00:00.0";"0.00"
"689";"65";"2022-03-01 00:00:00.0";"0.00"
"761";"65";"2022-02-28 23:00:00.0";"0.00"
"761";"65";"2022-03-01 00:00:00.0";"0.20"
"761";"65";"2022-03-01 01:00:00.0";"0.00"
"761";"65";"2022-03-01 02:00:00.0";"0.00"
"761";"65";"2022-03-01 03:00:00.0";"0.00"
"722";"65";"2022-02-28 23:00:00.0";"0.00"
"722";"65";"2022-03-01 00:00:00.0";"0.00"
"722";"65";"2022-03-01 01:00:00.0";"0.00"
"713";"65";"2022-02-28 23:00:00.0";"0.00"
